name,class,state,photo,party,elected,born,term,full_name,address,phone,website,official,twitter
Mike Rounds,2,South Dakota,https://en.wikipedia.org/wiki/File:Mike_Rounds_official_Senate_portrait.jpg,Republican,"January 3, 2015","October 24, 1954 (age 62)",2020,"Rounds, Mike - (R - SD)",502 Hart Senate Office Building Washington DC 20510,(202) 224-5842,http://www.rounds.senate.gov/,senator,https://twitter.com/senatorrounds
Bob Corker,1,Tennessee,https://en.wikipedia.org/wiki/File:Bob_Corker_official_Senate_photo.jpg,Republican,"January 3, 2007","August 24, 1952 (age 64)",2018,"Corker, Bob - (R - TN)",425 Dirksen Senate Office Building Washington DC 20510,(202) 224-3344,http://www.corker.senate.gov/,senator,https://twitter.com/SenBobCorker
Lamar Alexander,2,Tennessee,https://en.wikipedia.org/wiki/File:LamarAlexander.jpg,Republican,"January 3, 2003","July 3, 1940 (age 76)",2020,"Alexander, Lamar - (R - TN)",455 Dirksen Senate Office Building Washington DC 20510,(202) 224-4944,http://www.alexander.senate.gov/,senator,https://twitter.com/SenAlexander
John Cornyn,2,Texas,https://en.wikipedia.org/wiki/File:John_Cornyn_official_senate_portrait.jpg,Republican,"December 1, 2002","February 2, 1952 (age 65)",2020,"Cornyn, John - (R - TX)",517 Hart Senate Office Building Washington DC 20510,(202) 224-2934,http://www.cornyn.senate.gov/,senator,https://twitter.com/JohnCornyn
Ted Cruz,1,Texas,"https://en.wikipedia.org/wiki/File:Ted_Cruz,_official_portrait,_113th_Congress.jpg",Republican,"January 3, 2013","December 22, 1970 (age 46)",2018,"Cruz, Ted - (R - TX)",404 Russell Senate Office Building Washington DC 20510,(202) 224-5922,http://www.cruz.senate.gov/,senator,https://twitter.com/SenTedCruz
Mike Lee,3,Utah,https://en.wikipedia.org/wiki/File:Mike_Lee_official_portrait_112th_Congress.jpg,Republican,"January 3, 2011","June 4, 1971 (age 46)",2022,"Lee, Mike - (R - UT)",361A Russell Senate Office Building Washington DC 20510,(202) 224-5444,http://www.lee.senate.gov/,senator,https://twitter.com/SenMikeLee
Orrin Hatch,1,Utah,"https://en.wikipedia.org/wiki/File:Orrin_Hatch,_Official_Photograph.jpg",Republican,"January 3, 1977","March 22, 1934 (age 83)",2018,"Hatch, Orrin G. - (R - UT)",104 Hart Senate Office Building Washington DC 20510,(202) 224-5251,http://www.hatch.senate.gov/,senator,https://twitter.com/SenOrrinHatch
Bernie Sanders,1,Vermont,https://en.wikipedia.org/wiki/File:Bernie_Sanders.jpg,Independent,"January 3, 2007","September 8, 1941 (age 75)",2018,"Sanders, Bernard - (I - VT)",332 Dirksen Senate Office Building Washington DC 20510,(202) 224-5141,http://www.sanders.senate.gov/,senator,https://twitter.com/SenatorSanders
Patrick Leahy,3,Vermont,https://en.wikipedia.org/wiki/File:Leahy2009.jpg,Democratic,"January 3, 1975","March 31, 1940 (age 77)",2022,"Leahy, Patrick J. - (D - VT)",437 Russell Senate Office Building Washington DC 20510,(202) 224-4242,http://www.leahy.senate.gov/,senator,https://twitter.com/SenatorLeahy
Mark Warner,2,Virginia,"https://en.wikipedia.org/wiki/File:Mark_Warner,_official_111th_Congress_photo_portrait.jpg",Democratic,"January 3, 2009","December 15, 1954 (age 62)",2020,"Warner, Mark R. - (D - VA)",703 Hart Senate Office Building Washington DC 20510,(202) 224-2023,http://www.warner.senate.gov/,senator,https://twitter.com/MarkWarner
Tim Kaine,1,Virginia,"https://en.wikipedia.org/wiki/File:Tim_Kaine,_official_113th_Congress_photo_portrait.jpg",Democratic,"January 3, 2013","February 26, 1958 (age 59)",2018,"Kaine, Tim - (D - VA)",231 Russell Senate Office Building Washington DC 20510,(202) 224-4024,http://www.kaine.senate.gov/,senator,https://twitter.com/timkaine
Maria Cantwell,1,Washington,"https://en.wikipedia.org/wiki/File:Maria_Cantwell,_official_portrait,_110th_Congress.jpg",Democratic,"January 3, 2001","October 13, 1958 (age 58)",2018,"Cantwell, Maria - (D - WA)",511 Hart Senate Office Building Washington DC 20510,(202) 224-3441,http://www.cantwell.senate.gov/,senator,https://twitter.com/SenatorCantwell
Patty Murray,3,Washington,"https://en.wikipedia.org/wiki/File:Patty_Murray,_official_portrait,_113th_Congress.jpg",Democratic,"January 3, 1993","October 11, 1950 (age 66)",2022,"Murray, Patty - (D - WA)",154 Russell Senate Office Building Washington DC 20510,(202) 224-2621,http://www.murray.senate.gov/,senator,https://twitter.com/PattyMurray
Joe Manchin,1,West Virginia,https://en.wikipedia.org/wiki/File:Joe_Manchin_official_portrait_112th_Congress.jpg,Democratic,"November 15, 2010","August 24, 1947 (age 69)",2018,"Manchin, Joe, III - (D - WV)",306 Hart Senate Office Building Washington DC 20510,(202) 224-3954,http://www.manchin.senate.gov/,senator,https://twitter.com/Sen_JoeManchin
Shelley Moore Capito,2,West Virginia,https://en.wikipedia.org/wiki/File:Shelley_Moore_Capito_official_Senate_photo.jpg,Republican,"January 3, 2015","November 26, 1953 (age 63)",2020,"Capito, Shelley Moore - (R - WV)",172 Russell Senate Office Building Washington DC 20510,(202) 224-6472,http://www.capito.senate.gov/,senator,https://twitter.com/SenCapito
Ron Johnson,3,Wisconsin,"https://en.wikipedia.org/wiki/File:Ron_Johnson,_official_portrait,_112th_Congress.jpg",Republican,"January 3, 2011","April 8, 1955 (age 62)",2022,"Johnson, Ron - (R - WI)",328 Hart Senate Office Building Washington DC 20510,(202) 224-5323,http://www.ronjohnson.senate.gov/,senator,https://twitter.com/SenRonJohnson
Tammy Baldwin,1,Wisconsin,"https://en.wikipedia.org/wiki/File:Tammy_Baldwin,_official_portrait,_113th_Congress.jpg",Democratic,"January 3, 2013","February 11, 1962 (age 55)",2018,"Baldwin, Tammy - (D - WI)",709 Hart Senate Office Building Washington DC 20510,(202) 224-5653,http://www.baldwin.senate.gov/,senator,https://twitter.com/SenatorBaldwin
John Barrasso,1,Wyoming,https://en.wikipedia.org/wiki/File:John_Barrasso_official_portrait_112th_Congress.jpg,Republican,"June 25, 2007","July 21, 1952 (age 64)",2018,"Barrasso, John - (R - WY)",307 Dirksen Senate Office Building Washington DC 20510,(202) 224-6441,http://www.barrasso.senate.gov/,senator,https://twitter.com/SenJohnBarrasso
Mike Enzi,2,Wyoming,"https://en.wikipedia.org/wiki/File:Mike_Enzi,_official_portrait,_111th_Congress.jpg",Republican,"January 3, 1997","February 1, 1944 (age 73)",2020,"Enzi, Michael B. - (R - WY)",379A Russell Senate Office Building Washington DC 20510,(202) 224-3424,http://www.enzi.senate.gov/,senator,https://twitter.com/SenatorEnzi
